,selected_digits,test_loss,test_acc,test_dist_loss,test_dist_acc,N_test,log_sj_martingale,log_cj_martingale,cum_loss_base,roc_auc_base,cum_loss_prot,roc_auc_prot
0,"[5, 6]",0.052826039493083954,0.9789189696311951,1.6617380380630493,0.5858283638954163,2004,264.8235498673258,264.8235498673258,1457.6813136834921,0.7453507558758234,847.4445469982085,0.9289929095539675
0,"[5, 7]",0.01269302237778902,0.9963542222976685,1.6872016191482544,0.6404550671577454,2022,192.42719524084737,192.42719524084737,1271.4251207348905,0.6443590998043052,827.9406504219601,0.807316046966732
0,"[5, 8]",0.04865771904587746,0.9785638451576233,1.4593664407730103,0.6612824201583862,2043,204.80714270963435,204.80714270963435,1236.7805313566737,0.780605331099743,764.5522821956715,0.9738313422050827
0,"[5, 9]",0.03372723609209061,0.988953173160553,1.588661551475525,0.6506747007369995,2001,201.19122383719355,201.19122383719355,1276.0625302644041,0.7506041749538748,812.3980984244482,0.9197571706421945
0,"[6, 7]",0.0056801894679665565,0.9979858994483948,2.0360376834869385,0.5660948753356934,1982,237.48081515886577,237.48081515886577,1512.3514665400633,0.6951349287169042,965.152347611763,0.821479633401222
0,"[6, 8]",0.02382820099592209,0.9932712316513062,1.5412249565124512,0.5846230387687683,2003,276.6761282400949,276.6761282400949,1429.6500524899607,0.667146741244457,792.1642710184248,0.8450323252432124
0,"[6, 9]",0.013689505867660046,0.9954245686531067,2.0956921577453613,0.5385007858276367,1961,253.7244617962765,253.7244617962765,1603.4481629855613,0.5596705978293658,1018.8459816370096,0.7422449858432374
0,"[7, 8]",0.029840176925063133,0.987512469291687,1.0979348421096802,0.6952004432678223,2021,205.26299586989188,205.26299586989188,1034.7963560435335,0.7619059745347698,561.7373475776996,0.8996532810969637
0,"[7, 9]",0.03770585358142853,0.9833088517189026,0.671459436416626,0.7604851126670837,1979,172.6845551932924,172.6845551932924,739.7669725532833,0.9223105209397344,341.47750564027405,0.9871225740551582
0,"[8, 9]",0.04792189225554466,0.9843671321868896,1.4296315908432007,0.5725000500679016,2000,295.7691134782822,295.7691134782822,1400.8987534109008,0.5960438553402051,719.4693301027093,0.8237212610761345
